Date,Open,High,Low,Close,Adj Close,Volume
1998-08-06,8546.129883,8593.379883,8486.019531,8577.679688,8577.679688,77090000
1998-08-07,8579.219727,8710.019531,8552.959961,8598.019531,8598.019531,80620000
1998-08-10,8596.730469,8635.349609,8543.179688,8574.849609,8574.849609,59290000
1998-08-11,8570.839844,8570.839844,8316.870117,8462.849609,8462.849609,90960000
1998-08-12,8462.629883,8564.549805,8460.059570,8552.959961,8552.959961,72300000
1998-08-13,8550.700195,8603.429688,8459.500000,8459.500000,8459.500000,71100000
1998-08-14,8458.990234,8556.570313,8380.719727,8425.000000,8425.000000,83000000
1998-08-17,8419.959961,8574.849609,8368.620117,8574.849609,8574.849609,67560000
1998-08-18,8572.490234,8730.610352,8568.110352,8714.650391,8714.650391,66320000
1998-08-19,8712.700195,8753.780273,8663.410156,8693.280273,8693.280273,55810000
1998-08-20,8694.049805,8694.570313,8604.969727,8611.410156,8611.410156,60590000
1998-08-21,8607.799805,8608.059570,8328.200195,8533.650391,8533.650391,83410000
1998-08-24,8533.650391,8619.129883,8502.759766,8566.610352,8566.610352,61940000
1998-08-25,8568.410156,8689.419922,8538.540039,8602.650391,8602.650391,65560000
1998-08-26,8600.929688,8600.929688,8467.480469,8523.349609,8523.349609,67770000
1998-08-27,8518.089844,8518.349609,8164.189941,8165.990234,8165.990234,104250000
1998-08-28,8164.180176,8244.519531,8011.520020,8051.680176,8051.680176,94630000
1998-08-31,8052.450195,8095.450195,7539.069824,7539.069824,7539.069824,117890000
1998-09-01,7545.759766,7897.970215,7400.299805,7827.430176,7827.430176,147170000
1998-09-02,7824.169922,7952.560059,7767.439941,7782.370117,7782.370117,95880000
1998-09-03,7781.339844,7781.339844,7578.459961,7682.220215,7682.220215,108280000
1998-09-04,7685.049805,7760.750000,7495.810059,7640.250000,7640.250000,96750000
1998-09-08,7645.140137,8033.140137,7645.140137,8020.779785,8020.779785,100540000
1998-09-09,8020.779785,8030.569824,7851.890137,7865.020020,7865.020020,85190000
1998-09-10,7858.069824,7858.069824,7519.500000,7615.540039,7615.540039,101550000
1998-09-11,7612.180176,7817.390137,7518.990234,7795.500000,7795.500000,91320000
1998-09-14,7796.529785,8039.060059,7796.529785,7945.350098,7945.350098,89750000
1998-09-15,7945.089844,8035.720215,7881.500000,8024.390137,8024.390137,72890000
1998-09-16,8026.129883,8102.919922,7962.850098,8089.779785,8089.779785,88360000
1998-09-17,8078.149902,8078.149902,7854.459961,7873.770020,7873.770020,71890000
1998-09-18,7876.350098,7930.669922,7827.939941,7895.660156,7895.660156,99090000
1998-09-21,7889.330078,7945.350098,7711.049805,7933.250000,7933.250000,77720000
1998-09-22,7934.279785,7986.799805,7855.750000,7897.200195,7897.200195,70850000
1998-09-23,7897.200195,8160.589844,7896.430176,8154.410156,8154.410156,94270000
1998-09-24,8152.350098,8182.470215,7935.819824,8001.990234,8001.990234,83180000
1998-09-25,8001.990234,8086.439941,7889.990234,8028.770020,8028.770020,79140000
1998-09-28,8026.169922,8160.330078,8026.169922,8108.839844,8108.839844,74480000
1998-09-29,8109.870117,8150.549805,8015.629883,8080.520020,8080.520020,81200000
1998-09-30,8079.490234,8079.490234,7825.370117,7842.620117,7842.620117,87640000
1998-10-01,7841.330078,7841.330078,7582.839844,7632.529785,7632.529785,100930000
1998-10-02,7631.240234,7818.160156,7530.310059,7784.689941,7784.689941,102730000
1998-10-05,7787.009766,7788.040039,7551.680176,7726.240234,7726.240234,98080000
1998-10-06,7733.970215,7880.979980,7683.509766,7742.979980,7742.979980,91560000
1998-10-07,7745.180176,7858.319824,7629.180176,7741.689941,7741.689941,105820000
1998-10-08,7734.479980,7756.370117,7467.490234,7731.910156,7731.910156,138480000
1998-10-09,7734.740234,7917.279785,7666.509766,7899.520020,7899.520020,101640000
1998-10-12,7900.549805,8084.640137,7900.549805,8001.470215,8001.470215,74370000
1998-10-13,8002.500000,8009.970215,7884.589844,7938.140137,7938.140137,78690000
1998-10-14,7938.140137,8048.330078,7878.149902,7968.779785,7968.779785,80570000
1998-10-15,7966.970215,8347.759766,7920.120117,8299.360352,8299.360352,99690000
1998-10-16,8300.389648,8429.379883,8300.389648,8416.759766,8416.759766,126790000
1998-10-19,8415.480469,8515.370117,8388.959961,8466.450195,8466.450195,72630000
1998-10-20,8471.860352,8652.860352,8471.860352,8505.849609,8505.849609,99750000
1998-10-21,8504.669922,8561.969727,8446.120117,8519.230469,8519.230469,81660000
1998-10-22,8519.030273,8555.790039,8422.169922,8533.139648,8533.139648,71460000
1998-10-23,8531.339844,8531.339844,8426.809570,8452.290039,8452.290039,64440000
1998-10-26,8448.950195,8521.040039,8408.009766,8432.209961,8432.209961,57130000
1998-10-27,8433.240234,8533.139648,8346.219727,8366.040039,8366.040039,75880000
1998-10-28,8365.269531,8432.980469,8328.709961,8371.969727,8371.969727,61660000
1998-10-29,8371.219727,8496.320313,8352.400391,8495.030273,8495.030273,61420000
1998-10-30,8498.120117,8659.809570,8498.120117,8592.099609,8592.099609,70950000
1998-11-02,8595.700195,8742.969727,8595.700195,8706.150391,8706.150391,80840000
1998-11-03,8706.669922,8744.519531,8677.580078,8706.150391,8706.150391,75340000
1998-11-04,8708.469727,8854.450195,8708.469727,8783.139648,8783.139648,87020000
1998-11-05,8782.110352,8917.269531,8714.910156,8915.469727,8915.469727,78000000
1998-11-06,8915.339844,8990.910156,8897.190430,8975.459961,8975.459961,67750000
1998-11-09,8971.969727,8985.500000,8845.959961,8897.959961,8897.959961,61020000
1998-11-10,8895.169922,8928.349609,8854.709961,8863.980469,8863.980469,72800000
1998-11-11,8863.980469,8936.070313,8792.660156,8823.820313,8823.820313,71300000
1998-11-12,8822.320313,8907.750000,8810.940430,8829.740234,8829.740234,58850000
1998-11-13,8830.610352,8925.509766,8829.839844,8919.589844,8919.589844,56060000
1998-11-16,8921.139648,9030.299805,8920.879883,9011.250000,9011.250000,68030000
1998-11-17,9010.990234,9103.160156,8929.120117,8986.280273,8986.280273,83800000
1998-11-18,8978.620117,9041.110352,8957.179688,9041.110352,9041.110352,63440000
1998-11-19,9039.830078,9087.719727,9010.730469,9056.049805,9056.049805,64210000
1998-11-20,9058.620117,9161.349609,9058.620117,9159.549805,9159.549805,75920000
1998-11-23,9159.549805,9374.269531,9159.290039,9374.269531,9374.269531,84080000
1998-11-24,9371.519531,9380.200195,9289.049805,9301.150391,9301.150391,81140000
1998-11-25,9300.780273,9318.150391,9252.490234,9314.280273,9314.280273,58200000
1998-11-27,9311.849609,9346.209961,9304.500000,9333.080078,9333.080078,29010000
1998-11-30,9333.080078,9333.080078,9116.549805,9116.549805,9116.549805,72220000
1998-12-01,9116.549805,9141.269531,8987.820313,9133.540039,9133.540039,87730000
